student_id,gender,age,parental_education,study_hours_per_week,attendance_rate,extracurricular,math_score,physics_score,chemistry_score,english_score,computer_score,average_score,passed_all,grade
26,Female,15,Bachelor,10.3,79.1,No,,76.7,69.3,71.1,77.0,73.5,1,B
27,Male,17,Bachelor,13.3,98.4,No,70.1,79.6,71.4,75.4,74.3,74.2,1,B
28,Female,17,Bachelor,6.4,83.8,No,57.9,52.7,63.8,47.5,58.2,56.0,1,C
29,Female,15,Bachelor,18.3,82.5,Yes,77.1,61.4,68.0,66.7,77.2,70.1,1,B
30,Male,16,High School,,73.6,No,83.8,66.4,66.8,70.2,83.7,74.2,1,B
31,Female,15,High School,10.2,92.6,No,78.0,73.8,70.4,72.7,70.8,73.1,1,B
32,Male,16,High School,10.9,75.0,No,79.8,66.2,92.7,82.1,89.2,82.0,1,A
33,Male,15,High School,,,Yes,,66.2,63.1,73.1,78.9,70.3,1,B
34,Female,18,Bachelor,8.1,92.7,No,73.4,71.8,77.0,68.3,69.0,71.9,1,B
35,Female,15,Master,9.8,93.8,Yes,64.3,66.1,55.8,55.3,62.1,60.7,1,C
36,Female,15,Master,10.6,82.8,Yes,75.8,87.7,86.0,86.6,88.2,84.9,1,A
37,Male,17,Master,20.1,86.9,No,97.0,96.0,94.6,79.2,100.0,93.4,1,A
38,Male,16,Bachelor,16.7,81.0,No,76.5,78.6,64.6,66.9,78.4,73.0,1,B
39,Female,18,Bachelor,16.7,83.6,Yes,82.4,70.1,,70.8,82.9,76.6,1,B
40,Male,16,Bachelor,13.8,90.1,Yes,71.6,61.2,70.6,70.7,77.2,70.3,1,B
41,Male,18,High School,6.4,84.0,No,45.6,46.4,53.6,52.3,59.1,51.4,1,C
42,Female,15,High School,11.8,86.0,No,86.1,85.1,83.2,76.7,76.1,81.4,1,A
43,Male,17,Bachelor,16.9,76.3,Yes,74.9,,73.1,62.1,72.6,70.7,1,B
44,Female,17,No Formal,5.7,97.1,No,52.3,46.4,43.4,59.9,59.0,52.2,1,C
45,Male,16,High School,15.2,92.1,Yes,72.8,69.0,75.0,68.6,78.9,72.9,1,B
46,Female,17,High School,23.6,94.3,No,77.7,90.6,82.6,77.5,73.4,80.4,1,A
47,Male,16,Master,17.3,98.3,No,,86.6,83.0,83.6,89.2,85.6,1,A
48,Female,16,High School,,81.4,No,85.0,80.9,89.0,73.2,97.5,85.1,1,A
49,Female,18,Master,13.1,85.1,Yes,76.8,70.4,76.3,62.8,77.7,72.8,1,B
50,Male,16,Master,16.8,72.8,No,71.5,80.0,63.1,62.3,77.5,70.9,1,B
51,Female,18,Graduate,8.4,100.0,No,75.1,75.2,75.7,69.5,87.5,76.6,1,B
52,Female,17,Bachelor,16.0,,Yes,71.1,64.8,86.8,74.7,81.5,75.8,1,B
53,Female,16,Master,15.3,96.3,Yes,91.8,79.0,89.8,77.1,93.0,86.1,1,A
54,Female,16,Bachelor,13.4,,No,76.0,61.1,66.0,62.8,68.2,66.8,1,B
55,Female,15,Bachelor,18.6,96.0,No,74.7,89.9,94.1,79.2,82.5,84.1,1,A
56,Female,16,Bachelor,9.3,100.0,Yes,,75.0,67.9,68.9,69.7,70.4,1,B
57,Male,16,High School,11.1,87.5,No,62.4,62.9,76.4,69.0,77.2,69.6,1,B
58,Male,15,Bachelor,12.5,79.9,Yes,68.8,62.7,64.1,55.2,68.4,63.8,1,C
59,Male,15,Bachelor,6.9,86.9,Yes,55.6,,65.0,66.1,69.6,64.1,1,C
60,Male,17,Master,13.1,70.2,No,63.6,,53.9,58.5,57.9,58.5,1,C
61,Male,16,Master,3.4,87.7,Yes,57.8,47.7,57.0,56.6,62.4,56.3,1,C
62,Male,17,Master,17.2,94.6,No,100.0,84.5,82.1,75.5,95.3,87.5,1,A
63,Female,17,High School,12.2,87.7,No,79.6,,87.0,69.9,81.2,79.4,1,B
64,Male,15,Master,9.4,85.7,No,70.0,73.3,62.9,59.3,74.9,68.1,1,B
65,Male,18,Bachelor,7.8,92.2,No,74.9,60.7,66.8,62.6,74.0,67.8,1,B
66,Female,17,Graduate,10.8,92.8,No,69.5,59.2,72.3,64.8,74.4,68.0,1,B
67,Male,18,Graduate,15.4,74.7,No,76.2,70.7,69.9,55.8,67.8,68.1,1,B
68,Female,16,High School,14.7,88.7,No,72.0,52.3,59.6,60.4,66.7,62.2,1,C
69,Male,15,Master,8.5,100.0,Yes,86.3,73.0,72.2,68.7,81.1,76.3,1,B
70,Other,16,High School,7.8,77.3,No,61.4,58.0,64.3,63.9,67.0,62.9,1,C
71,Female,16,Bachelor,15.3,87.3,No,65.1,71.6,74.0,,74.7,71.4,1,B
72,Male,15,Bachelor,8.4,100.0,Yes,58.9,48.5,38.5,58.6,59.1,52.7,1,C
73,Male,16,High School,12.3,96.8,No,75.0,79.4,61.0,70.8,,71.6,1,B
74,Female,15,Master,12.6,83.9,Yes,92.7,,74.4,66.7,83.0,79.2,1,B
75,Female,18,High School,13.6,89.6,Yes,63.4,74.4,62.0,64.9,81.6,69.3,1,B
76,Female,16,High School,16.3,88.0,Yes,77.3,69.6,,61.5,66.1,68.6,1,B
77,Female,15,Bachelor,5.7,82.0,No,61.5,70.4,67.6,61.3,,65.2,1,B
78,Male,17,Master,2.4,87.4,No,67.3,72.8,64.4,76.2,73.3,70.8,1,B
79,Male,16,Graduate,9.2,85.8,Yes,69.5,59.0,68.4,64.3,59.0,64.0,1,C
80,Male,18,Master,21.0,88.9,No,,86.6,71.3,71.2,80.9,77.5,1,B
81,Female,15,Master,22.1,82.0,Yes,98.1,94.2,98.5,86.7,100.0,95.5,1,A
82,Female,16,Bachelor,21.2,77.8,Yes,93.1,85.2,82.4,87.4,87.7,87.2,1,A
83,Male,16,High School,11.0,,No,66.7,58.7,70.9,70.5,81.5,69.7,1,B
84,Male,16,High School,3.1,100.0,No,50.6,45.2,40.0,61.3,56.4,50.7,1,C
85,Male,18,Bachelor,0.3,88.7,Yes,58.3,,44.5,60.4,54.8,54.5,1,C
86,Male,15,Master,8.9,85.3,Yes,72.4,54.7,66.1,63.2,63.6,64.0,1,C
87,Female,17,Bachelor,,94.0,No,68.4,58.7,58.8,62.7,69.8,63.7,1,C
88,Female,17,Master,,86.7,Yes,75.2,74.2,71.4,63.2,72.1,71.2,1,B
89,Female,17,Bachelor,16.3,100.0,Yes,92.9,83.5,95.9,75.0,76.4,84.7,1,A
90,Male,15,High School,13.1,88.0,No,78.6,72.2,70.1,,66.4,71.8,1,B
91,Male,17,High School,7.6,93.6,No,56.4,60.7,70.4,64.1,75.3,65.4,1,B
92,Female,18,Master,7.2,82.0,No,,67.9,,65.4,64.5,65.9,1,B
93,Female,15,Master,13.3,92.0,No,82.1,85.8,69.1,73.2,75.5,77.1,1,B
94,Female,16,Graduate,15.5,90.2,Yes,88.1,86.1,76.1,73.1,82.5,81.2,1,A
95,Female,18,High School,14.0,87.5,No,74.8,66.1,57.7,70.2,85.7,70.9,1,B
96,Female,16,No Formal,6.8,84.0,Yes,56.2,54.9,46.1,54.0,61.4,54.5,1,C
97,Female,17,High School,15.3,82.9,No,63.8,54.9,63.3,65.8,64.1,62.4,1,C
98,Male,18,High School,14.1,90.3,No,68.0,58.9,62.4,69.1,,64.6,1,C
99,Male,15,No Formal,6.6,93.0,No,63.6,46.3,57.0,,55.1,55.5,1,C
100,Male,18,High School,8.1,87.0,No,52.4,50.3,53.9,51.5,50.5,51.7,1,C
101,Male,16,Master,15.4,90.3,No,,62.2,59.3,69.5,76.9,67.0,1,B
102,Female,15,High School,10.8,87.7,Yes,69.7,62.9,67.9,75.2,76.9,70.5,1,B
103,Male,18,Bachelor,,88.8,No,90.5,81.8,69.5,81.0,84.5,81.5,1,A
104,Female,18,Graduate,14.5,86.4,No,66.4,61.7,70.8,77.1,72.0,69.6,1,B
105,Female,18,High School,9.6,88.1,No,,89.5,86.3,82.6,98.0,89.1,1,A
106,Male,18,Master,11.9,100.0,Yes,65.6,58.0,70.8,68.5,71.6,66.9,1,B
107,Male,15,High School,12.3,90.5,Yes,86.1,82.7,77.4,73.5,76.5,79.2,1,B
108,Female,16,Bachelor,8.4,93.2,Yes,62.2,60.8,73.4,62.7,76.0,67.0,1,B
109,Male,18,High School,7.4,91.5,Yes,73.6,58.4,70.0,74.0,65.3,68.3,1,B
110,Male,15,High School,15.5,85.9,No,88.5,82.5,74.5,66.8,79.2,78.3,1,B
111,Male,16,High School,16.2,,Yes,63.1,63.6,57.7,71.2,67.7,64.7,1,C
112,Male,18,High School,15.0,85.7,Yes,69.3,86.6,,77.7,80.0,78.4,1,B
113,Female,16,Graduate,19.6,96.4,No,97.2,85.4,96.0,80.7,89.8,89.8,1,A
114,Female,16,Bachelor,9.3,85.3,No,44.8,47.1,,58.5,55.9,51.6,1,C
115,Female,15,High School,20.4,80.3,No,97.4,100.0,100.0,90.4,90.7,95.7,1,A
116,Female,16,Bachelor,,90.9,No,75.2,72.6,59.8,59.8,68.4,67.2,1,B
117,Female,15,High School,6.9,,Yes,78.9,64.7,80.1,61.8,75.7,72.2,1,B
118,Male,18,Master,3.2,,Yes,46.3,,,55.5,60.6,54.1,1,C
119,Female,16,No Formal,9.8,78.4,Yes,65.5,63.4,61.2,68.4,,64.6,1,C
120,Female,16,Bachelor,9.5,85.4,No,76.0,64.6,72.7,78.9,70.1,72.5,1,B
121,Female,17,Graduate,14.6,76.5,Yes,79.5,70.7,78.5,74.3,71.1,74.8,1,B
122,Female,18,Bachelor,13.2,100.0,No,90.3,71.5,72.9,64.6,82.6,76.4,1,B
123,Male,18,High School,6.0,74.8,Yes,49.7,61.4,47.3,52.4,56.7,53.5,1,C
124,Male,17,Master,10.0,88.1,No,69.2,66.2,55.7,69.8,74.7,67.1,1,B
125,Male,17,Bachelor,10.1,97.1,No,78.3,75.6,,55.4,,69.8,1,B
126,Male,15,Master,3.1,96.3,No,70.1,,71.0,57.7,68.4,66.8,1,B
127,Female,15,Graduate,7.1,94.8,No,69.1,67.8,54.5,58.6,66.4,63.3,1,C
128,Female,16,Bachelor,8.1,85.5,No,66.5,70.3,56.9,72.5,64.8,66.2,1,B
129,Male,16,Graduate,19.2,98.8,No,82.5,82.8,72.1,72.0,95.3,80.9,1,A
130,Female,16,Master,,95.3,No,71.4,78.1,71.9,71.9,77.5,74.2,1,B
131,Male,16,Bachelor,15.3,89.7,No,90.7,76.0,,75.8,81.2,80.9,1,A
132,Male,15,Bachelor,4.5,89.9,No,,49.6,,56.4,59.3,55.1,1,C
133,Male,18,High School,18.0,85.6,No,84.8,84.5,76.4,74.2,98.9,83.8,1,A
134,Male,16,No Formal,18.5,80.7,No,82.6,,84.6,79.9,96.2,85.8,1,A
135,Female,18,Master,2.0,97.9,Yes,56.2,44.7,59.5,52.5,54.7,53.5,1,C
136,Male,16,High School,8.5,98.5,Yes,68.1,57.7,87.3,71.2,83.6,73.6,1,B
137,Female,17,High School,14.5,80.9,No,72.8,70.0,69.0,75.8,79.2,73.4,1,B
138,Female,16,Bachelor,15.2,86.8,Yes,93.8,90.1,81.1,74.5,93.9,86.7,1,A
139,Male,16,High School,8.6,86.9,Yes,75.6,75.5,83.9,67.3,81.7,76.8,1,B
140,Female,16,High School,10.5,87.7,Yes,68.7,55.8,66.5,54.2,72.6,63.6,1,C
141,Female,15,Bachelor,9.0,88.5,No,66.8,70.5,,72.9,82.3,73.1,1,B
142,Male,17,High School,12.6,95.6,No,69.1,,68.8,69.0,61.5,67.1,1,B
143,Female,16,Bachelor,18.0,82.0,No,73.1,76.2,73.1,66.1,79.6,73.6,1,B
144,Male,16,High School,8.1,,No,55.9,57.6,48.2,55.7,58.1,55.1,1,C
145,Male,18,High School,17.0,97.9,No,77.1,67.2,62.4,64.9,71.3,68.6,1,B
146,Male,17,Master,8.1,84.3,Yes,66.8,61.9,59.9,65.4,63.8,63.6,1,C
147,Female,16,Bachelor,7.8,77.9,Yes,,67.8,76.3,60.6,65.6,67.6,1,B
148,Female,18,High School,16.1,84.1,No,74.2,66.9,74.4,73.7,73.2,72.5,1,B
149,Male,18,High School,16.6,85.4,Yes,86.6,87.4,76.3,67.9,78.2,79.3,1,B
150,Male,15,Bachelor,,100.0,Yes,75.8,,75.7,70.2,83.3,76.2,1,B
151,Female,18,High School,5.4,95.4,No,68.5,59.0,78.2,73.6,79.1,71.7,1,B
152,Male,16,High School,9.7,97.2,No,82.0,67.6,53.9,74.3,79.3,71.4,1,B
153,Male,15,High School,16.1,94.6,No,83.7,75.7,78.2,86.6,,81.1,1,A
154,Female,15,Master,12.2,95.6,No,89.1,67.3,,,89.0,81.8,1,A
155,Other,16,Master,6.6,82.5,No,60.7,68.8,67.5,73.1,72.9,68.6,1,B
156,Male,17,Master,14.3,86.4,No,94.0,80.9,79.1,79.4,97.2,86.1,1,A
157,Female,18,Master,8.4,80.1,No,72.6,69.1,62.8,65.9,65.2,67.1,1,B
158,Female,15,Master,21.0,86.3,Yes,93.4,83.1,92.4,85.4,95.8,90.0,1,A
159,Male,17,Bachelor,19.7,93.5,No,100.0,87.2,,84.9,94.2,91.6,1,A
160,Female,16,Bachelor,,89.1,No,,83.6,77.3,79.6,75.1,78.9,1,B
161,Male,18,High School,18.8,98.5,No,84.8,90.8,77.0,74.7,95.1,84.5,1,A
162,Female,18,Bachelor,12.3,78.9,No,71.6,63.3,65.0,,66.3,66.6,1,B
163,Female,15,Master,15.8,92.0,No,100.0,78.6,89.5,83.9,97.5,89.9,1,A
164,Female,18,Bachelor,19.4,78.0,No,95.1,90.3,85.2,86.1,,89.2,1,A
165,Male,18,Bachelor,13.2,88.8,Yes,65.9,71.6,58.3,67.9,71.7,67.1,1,B
166,Female,18,High School,10.7,93.9,No,70.9,56.7,66.7,65.5,75.1,67.0,1,B
167,Male,18,Bachelor,3.5,86.3,No,67.2,54.0,69.3,71.2,79.8,68.3,1,B
168,Male,16,Master,11.6,92.4,No,78.2,70.5,78.5,72.0,75.1,74.9,1,B
169,Male,17,Graduate,16.1,80.3,No,95.2,79.8,79.4,81.7,89.8,85.2,1,A
170,Female,16,High School,16.7,74.7,Yes,84.8,72.8,85.1,80.8,91.0,82.9,1,A
171,Female,16,Master,14.5,92.5,Yes,74.7,76.5,72.2,72.0,71.7,73.4,1,B
172,Male,15,Bachelor,9.3,100.0,No,78.7,69.0,78.5,65.3,80.8,74.5,1,B
173,Female,18,Graduate,2.1,80.0,No,63.0,63.7,54.2,66.8,71.7,63.9,1,C
174,Male,16,Bachelor,9.5,97.8,Yes,63.0,58.2,57.7,55.9,,58.7,1,C
175,Female,18,Bachelor,10.5,88.3,No,72.5,73.9,69.2,64.2,77.6,71.5,1,B
176,Male,16,Bachelor,10.4,77.3,No,74.7,71.5,81.0,74.2,88.4,78.0,1,B
177,Female,16,Master,15.1,78.9,No,82.7,65.8,72.8,57.0,81.1,71.9,1,B
178,Male,15,No Formal,21.9,,No,86.7,78.3,81.3,85.1,81.2,82.5,1,A
179,Female,17,High School,12.6,84.8,No,70.4,58.9,67.5,69.4,72.7,67.8,1,B
180,Male,17,High School,10.9,77.5,No,59.3,75.7,64.6,71.6,66.8,67.6,1,B
181,Male,16,Graduate,,74.4,Yes,,75.2,73.9,80.2,78.8,77.0,1,B
182,Male,15,Bachelor,,81.2,Yes,66.4,60.0,59.9,63.7,70.3,64.1,1,C
183,Female,18,Bachelor,7.9,89.6,No,66.2,70.5,74.9,79.4,,72.8,1,B
184,Female,18,Bachelor,12.6,87.9,No,73.7,58.3,76.6,,82.1,72.7,1,B
185,Male,16,High School,14.3,84.0,No,67.4,74.8,79.2,66.2,78.6,73.2,1,B
186,Female,17,Master,13.0,89.6,No,91.2,95.2,82.5,78.4,92.5,88.0,1,A
187,Female,15,Master,14.3,96.3,No,82.1,78.8,72.4,77.0,87.2,79.5,1,B
188,Female,17,High School,14.2,91.2,No,69.2,69.2,68.1,70.4,60.6,67.5,1,B
189,Female,18,High School,3.1,87.0,No,56.6,52.7,56.4,64.6,66.7,59.4,1,C
190,Male,17,Master,,95.4,No,82.4,73.3,74.5,79.0,93.4,80.5,1,A
191,Male,18,High School,8.6,80.3,No,58.5,37.5,39.3,57.7,61.1,50.8,1,C
192,Female,15,Graduate,6.5,86.2,No,69.6,59.3,55.6,61.9,71.5,63.6,1,C
193,Female,15,High School,6.5,86.4,Yes,68.4,68.5,56.8,76.5,67.6,67.6,1,B
194,Female,16,Bachelor,14.2,78.1,No,62.9,54.7,47.5,56.2,65.0,57.3,1,C
195,Male,16,Graduate,10.9,84.6,No,81.4,74.0,,77.1,73.1,76.4,1,B
196,Male,17,Master,3.6,,No,53.7,64.7,43.1,66.0,66.7,58.8,1,C
197,Female,15,Bachelor,14.4,100.0,Yes,71.6,55.8,69.5,55.8,,63.2,1,C
198,Female,15,Master,4.8,80.5,No,58.2,74.6,58.7,70.5,69.9,66.4,1,B
199,Female,16,High School,12.7,100.0,No,69.3,,68.0,75.1,76.7,72.3,1,B
200,Female,18,High School,13.2,,No,67.7,65.4,64.8,62.5,67.3,65.5,1,B
201,Female,17,No Formal,16.4,92.5,Yes,91.4,85.6,81.5,78.8,90.6,85.6,1,A
202,Male,17,Master,20.9,84.1,No,97.8,98.6,87.1,85.4,100.0,93.8,1,A
203,Male,16,Bachelor,5.2,89.7,No,70.4,59.5,60.8,67.1,63.7,64.3,1,C
204,Female,15,Bachelor,11.7,93.2,No,74.7,78.9,78.8,65.6,71.6,73.9,1,B
205,Female,16,High School,10.6,93.3,No,72.2,68.5,65.5,,85.8,73.0,1,B
206,Male,16,High School,14.2,,Yes,69.6,74.3,,64.0,78.6,71.6,1,B
207,Male,16,Bachelor,13.1,85.1,No,67.0,67.3,49.6,49.0,67.6,60.1,1,C
208,Female,16,Master,10.2,84.2,No,77.7,53.4,80.1,73.1,77.8,72.4,1,B
209,Male,18,Bachelor,9.8,,No,66.5,62.5,,66.5,60.5,64.0,1,C
210,Male,18,Master,6.4,92.2,No,48.3,66.0,56.4,61.0,67.8,59.9,1,C
211,Female,15,High School,,,No,96.1,75.3,94.9,71.0,90.0,85.5,1,A
212,Female,16,Bachelor,14.3,100.0,No,76.6,76.3,78.7,63.8,82.6,75.6,1,B
213,Female,18,High School,16.6,90.4,No,73.1,,70.9,74.8,63.7,70.6,1,B
214,Male,15,Bachelor,10.4,81.9,Yes,74.7,,,69.4,73.3,72.5,1,B
215,Female,16,High School,8.7,74.4,No,75.4,64.1,60.5,72.6,69.5,68.4,1,B
216,Male,17,No Formal,6.6,,Yes,67.6,44.5,40.8,56.9,50.8,52.1,1,C
217,Male,18,High School,13.8,73.6,Yes,74.9,76.7,69.6,64.1,76.1,72.3,1,B
218,Female,15,Graduate,6.8,85.3,Yes,,61.8,62.8,,67.2,63.9,1,C
219,Female,17,Bachelor,21.2,86.2,Yes,88.6,88.5,79.5,84.3,92.8,86.7,1,A
220,Female,16,No Formal,5.5,,No,66.1,65.9,65.9,68.5,58.4,65.0,1,C
221,Female,16,Bachelor,13.4,88.3,No,92.1,84.1,85.7,,100.0,90.5,1,A
222,Female,16,Graduate,19.8,89.1,Yes,86.3,,77.0,71.0,86.7,80.2,1,A
223,Male,18,High School,15.0,68.7,No,84.9,74.0,84.4,78.6,84.4,81.3,1,A
224,Male,15,Master,12.9,88.1,No,89.0,,80.6,73.7,87.7,82.8,1,A
225,Male,17,Graduate,7.2,70.2,No,61.0,81.9,62.4,69.9,85.2,72.1,1,B
226,Male,15,High School,5.1,93.9,Yes,53.9,56.5,55.5,56.4,57.2,55.9,1,C
227,Female,18,High School,,83.6,Yes,83.7,87.7,88.8,80.9,87.4,85.7,1,A
228,Male,15,Bachelor,19.5,70.7,Yes,64.6,68.4,68.3,61.2,64.1,65.3,1,B
229,Female,18,Graduate,9.8,81.5,Yes,72.9,67.1,75.9,,74.1,72.5,1,B
230,Female,16,Bachelor,6.3,,No,80.6,55.9,66.7,79.0,82.4,72.9,1,B
231,Female,17,Bachelor,0.0,97.5,No,52.9,65.6,51.8,53.0,49.2,54.5,1,C
232,Female,16,High School,7.1,89.6,Yes,73.6,61.4,64.6,70.6,75.0,69.0,1,B
233,Female,15,High School,11.4,90.8,No,69.6,69.1,60.5,65.6,60.3,65.0,1,C
234,Female,16,Master,20.0,97.4,No,80.2,82.6,78.1,73.9,84.0,79.8,1,B
235,Male,17,High School,15.4,87.2,No,67.7,71.0,67.9,71.8,65.7,68.8,1,B
236,Female,16,Bachelor,13.5,94.0,Yes,,74.1,,68.1,86.3,76.2,1,B
237,Male,17,Graduate,10.0,93.5,No,76.0,87.3,66.8,68.3,80.9,75.9,1,B
238,Male,17,High School,9.1,77.7,No,58.9,63.1,60.2,65.0,53.2,60.1,1,C
239,Female,16,Master,19.0,99.8,Yes,100.0,,88.4,82.7,100.0,92.8,1,A
240,Male,18,High School,13.0,76.6,No,87.7,75.2,77.4,79.9,93.1,82.7,1,A
241,Female,15,Bachelor,1.5,,No,54.9,46.7,52.2,55.3,38.9,49.6,1,D
242,Female,18,High School,8.6,75.9,No,53.9,49.7,38.5,49.7,42.1,46.8,1,D
243,Female,18,Master,7.7,92.8,No,49.5,44.2,43.2,57.7,55.0,49.9,1,D
244,Male,16,High School,9.3,100.0,No,,71.7,63.1,73.4,79.5,71.9,1,B
245,Male,15,Bachelor,14.8,86.3,Yes,84.9,74.5,89.1,75.8,86.2,82.1,1,A
246,Female,15,Bachelor,11.5,85.9,Yes,71.3,76.6,64.1,70.5,74.9,71.5,1,B
247,Male,18,High School,11.6,92.9,No,70.8,74.5,,,76.2,73.8,1,B
248,Female,16,Master,18.6,85.4,No,81.3,76.4,68.8,68.9,78.3,74.7,1,B
249,Female,15,High School,8.5,100.0,Yes,64.9,72.6,64.2,71.2,80.9,70.8,1,B
250,Female,18,Master,21.3,89.5,No,100.0,100.0,89.4,87.0,100.0,95.3,1,A
251,Male,15,High School,8.6,85.4,No,48.9,36.7,50.3,45.7,42.9,44.9,1,D
252,Male,16,Master,12.4,83.7,Yes,68.1,83.9,62.9,66.9,72.7,70.9,1,B
253,Female,16,High School,10.6,80.5,No,57.7,56.4,63.6,,65.3,60.8,1,C
254,Male,16,Bachelor,12.6,83.0,No,77.5,65.0,62.2,61.9,63.8,66.1,1,B
255,Male,15,High School,14.2,85.2,No,60.5,68.5,62.0,59.1,66.8,63.4,1,C
256,Female,17,Master,14.2,,No,80.9,60.4,83.8,66.5,84.5,75.2,1,B
257,Female,15,High School,8.2,82.7,Yes,63.4,59.7,84.9,69.6,71.1,69.7,1,B
258,Female,17,Graduate,6.4,100.0,No,80.5,81.7,80.3,77.6,74.1,78.8,1,B
259,Female,16,Graduate,24.5,79.8,No,94.3,92.7,83.5,79.9,,87.6,1,A
260,Male,18,High School,9.6,89.2,No,53.1,57.0,61.1,58.5,56.6,57.3,1,C
261,Female,17,Bachelor,15.5,92.7,Yes,75.6,75.3,75.3,67.1,82.8,75.2,1,B
262,Other,16,High School,4.0,93.0,No,54.4,54.9,60.0,50.1,51.5,54.2,1,C
263,Male,16,Bachelor,10.6,87.5,No,63.0,60.2,55.5,61.9,62.4,60.6,1,C
264,Female,17,Master,11.4,86.1,Yes,74.1,85.0,83.6,77.3,85.3,81.1,1,A
265,Female,18,Master,,91.6,No,88.3,70.9,77.6,71.4,83.9,78.4,1,B
266,Female,16,Bachelor,0.0,90.1,No,52.5,54.4,,57.4,59.9,56.0,1,C
267,Female,17,High School,12.8,85.9,Yes,61.7,,64.5,71.2,58.4,64.0,1,C
268,Female,18,Bachelor,,75.5,No,69.0,67.8,85.3,69.5,74.1,73.1,1,B
269,Male,18,High School,13.6,84.3,Yes,83.3,65.4,69.7,67.3,71.9,71.5,1,B
270,Male,16,Master,6.8,78.8,Yes,64.0,68.9,76.9,75.9,79.4,73.0,1,B
271,Female,15,Bachelor,7.7,82.7,Yes,61.0,60.1,76.5,75.6,78.9,70.4,1,B
272,Female,15,Master,10.6,88.3,Yes,77.2,65.3,,68.6,78.3,72.4,1,B
273,Female,16,High School,6.7,,Yes,61.5,61.4,68.4,61.1,66.7,63.8,1,C
274,Female,18,High School,,,No,73.8,51.5,64.0,69.0,69.4,65.5,1,B
275,Female,16,High School,6.0,83.7,Yes,,,71.4,66.8,87.8,75.3,1,B
276,Female,17,High School,2.8,94.2,No,60.0,,57.4,66.9,63.1,61.8,1,C
277,Female,15,High School,17.1,90.4,No,92.8,57.2,79.7,69.6,83.7,76.6,1,B
278,Female,17,Master,5.5,98.4,No,57.6,60.0,65.3,61.5,65.3,61.9,1,C
279,Female,16,Graduate,11.1,92.6,No,89.8,75.5,74.9,70.2,78.6,77.8,1,B
280,Female,16,Bachelor,15.8,79.9,No,90.2,84.0,80.8,76.7,75.1,81.4,1,A
281,Female,18,Bachelor,8.9,,No,,56.9,46.4,63.6,74.8,60.4,1,C
282,Male,18,High School,7.9,90.5,Yes,59.9,64.8,60.0,60.7,54.5,60.0,1,C
283,Male,18,Graduate,13.1,83.8,No,72.4,74.0,78.4,65.7,72.4,72.6,1,B
284,Male,17,High School,17.6,80.2,No,80.8,64.3,75.3,71.7,80.1,74.4,1,B
285,Female,18,Graduate,6.2,77.9,Yes,78.7,70.1,62.7,68.2,84.6,72.9,1,B
286,Male,16,Bachelor,11.2,89.3,No,69.5,78.0,72.0,65.0,68.4,70.6,1,B
